OBJECTID,ZIP,ZIPCODE,COUNTY,ZIP_TYPE,COUNTY_NAME,PREFERRED_CITY,Shape_Length,Shape_Area
1,98001,98001,033,Standard,King County,AUBURN,147925.493779762,525217802.261397
2,98002,98002,033,Standard,King County,AUBURN,104828.865666712,205453875.632937
3,98003,98003,033,Standard,King County,FEDERAL WAY,123733.574057219,316942628.669517
4,98004,98004,033,Standard,King County,BELLEVUE,99325.9494209748,250745415.933445
5,98005,98005,033,Standard,King County,BELLEVUE,116554.738328327,211433670.290457
6,98006,98006,033,Standard,King County,BELLEVUE,94894.7550347589,344685351.199278
7,98007,98007,033,Standard,King County,BELLEVUE,113051.219156614,115966943.360445
8,98008,98008,033,Standard,King County,BELLEVUE,92469.3973905158,221074225.627443
9,98010,98010,033,Standard,King County,BLACK DIAMOND,131813.741581612,519142697.012719
10,98011,98011,033,Standard,King County,BOTHELL,73516.7901509312,197687795.925001
11,98011,98011,061,Standard,Snohomish County,BOTHELL,2747.26696332521,152891.754499246
12,98012,98012,061,Standard,Snohomish County,BOTHELL,118120.445519439,442655681.353721
13,98014,98014,033,Standard,King County,CARNATION,231918.453780417,1159838488.28949
14,98019,98019,033,Standard,King County,DUVALL,313474.001989502,3188086068.18715
15,98019,98019,061,Standard,Snohomish County,DUVALL,7976.11143896636,2266669.88920626
16,98020,98020,061,Standard,Snohomish County,EDMONDS,102285.049163501,504003033.669083
17,98021,98021,061,Standard,Snohomish County,BOTHELL,107426.416687934,275850295.835375
18,98022,98022,033,Standard,King County,ENUMCLAW,736038.171148613,11360756414.1748
19,98022,98022,053,Standard,Pierce County,ENUMCLAW,514413.098046499,8809822117.47288
20,98023,98023,033,Standard,King County,FEDERAL WAY,112480.160301984,514915543.437196
21,98024,98024,033,Standard,King County,FALL CITY,364856.94454369,2193499469.42591
22,98026,98026,061,Standard,Snohomish County,EDMONDS,152276.053308691,464711904.571557
23,98027,98027,033,Standard,King County,ISSAQUAH,278132.216687259,1610081218.19801
24,98028,98028,033,Standard,King County,KENMORE,71170.2370004141,199436426.874104
25,98029,98029,033,Standard,King County,ISSAQUAH,113323.407936545,276193727.759076
26,98030,98030,033,Standard,King County,KENT,93284.5630945867,200650833.90657
27,98031,98031,033,Standard,King County,KENT,114217.445762463,228130484.998431
28,98032,98032,033,Standard,King County,KENT,164035.295036889,475767828.201698
29,98033,98033,033,Standard,King County,KIRKLAND,100570.216011311,332254507.812696
30,98034,98034,033,Standard,King County,KIRKLAND,101657.250470736,325221325.718626
31,98036,98036,061,Standard,Snohomish County,LYNNWOOD,120436.120679491,264576671.252661
32,98037,98037,061,Standard,Snohomish County,LYNNWOOD,83542.4992792157,170527033.667743
33,98038,98038,033,Standard,King County,MAPLE VALLEY,313202.919192418,1641555614.38587
34,98039,98039,033,Standard,King County,MEDINA,61260.479325812,155180169.847707
35,98040,98040,033,Standard,King County,MERCER ISLAND,86242.1867282885,355630910.249607
36,98042,98042,033,Standard,King County,KENT,208820.974605647,768284463.999332
37,98043,98043,061,Standard,Snohomish County,MOUNTLAKE TERRACE,49255.9029770434,116719819.442367
38,98045,98045,033,Standard,King County,NORTH BEND,644167.77107779,8056672348.36511
39,98047,98047,033,Standard,King County,PACIFIC,41797.6016313565,48811898.4781702
40,98047,98047,053,Standard,Pierce County,PACIFIC,18688.8122816205,17402071.9581664
41,98050,98050,033,PO Box,King County,PRESTON,62720.6529760536,39535965.4973662
42,98051,98051,033,Standard,King County,RAVENSDALE,212924.686933562,1151477140.76021
43,98052,98052,033,Standard,King County,REDMOND,163384.999544792,569645715.584673
44,98053,98053,033,Standard,King County,REDMOND,200161.144407355,773072520.567655
45,98055,98055,033,Standard,King County,RENTON,67775.2341222813,124865108.739484
46,98056,98056,033,Standard,King County,RENTON,89829.6404440397,234151634.411896
47,98057,98057,033,Standard,King County,RENTON,88903.8571842255,189527607.22327
48,98058,98058,033,Standard,King County,RENTON,172731.984668837,627099574.266579
49,98059,98059,033,Standard,King County,RENTON,146767.840468243,462310927.856038
50,98065,98065,033,Standard,King County,SNOQUALMIE,352239.407796604,2405166818.50463
51,98068,98068,033,PO Box,King County,SNOQUALMIE PASS,12574.0265734575,2805831.69190249
52,98068,98068,037,PO Box,Kittitas County,SNOQUALMIE PASS,220130.819553189,1770029111.33824
53,98070,98070,033,Standard,King County,VASHON,205883.685483556,2275005197.25548
54,98072,98072,033,Standard,King County,WOODINVILLE,118818.786077032,368824724.841318
55,98072,98072,061,Standard,Snohomish County,WOODINVILLE,81701.8461643968,140602304.18855
56,98074,98074,033,Standard,King County,SAMMAMISH,116931.362761614,375956896.118713
57,98075,98075,033,Standard,King County,SAMMAMIISH,133319.58242155,336033441.71943
58,98077,98077,033,Standard,King County,WOODINVILLE,116788.250296181,419638041.763907
59,98077,98077,061,Standard,Snohomish County,WOODINVILLE,52323.6023294571,82659272.4098972
60,98087,98087,061,Standard,Snohomish County,LYNNWOOD,70657.601023286,155851985.748355
61,98092,98092,033,Standard,King County,AUBURN,266563.708679641,1212593808.94003
62,98092,98092,053,Standard,Pierce County,AUBURN,36506.1134524174,45320225.1725699
63,98101,98101,033,Standard,King County,SEATTLE,34590.8488811233,24480538.606783
64,98102,98102,033,Standard,King County,SEATTLE,37668.9123882431,43645701.8890904
65,98103,98103,033,Standard,King County,SEATTLE,72834.412583874,144128265.914293
66,98104,98104,033,Standard,King County,SEATTLE,43659.0123139464,38633223.35159
67,98105,98105,033,Standard,King County,SEATTLE,85254.5613754898,149631284.83072
68,98106,98106,033,Standard,King County,SEATTLE,88088.3183878119,152521021.091656
69,98107,98107,033,Standard,King County,SEATTLE,49004.4403964447,67188487.0394412
70,98108,98108,033,Standard,King County,SEATTLE,85135.4526951801,215679620.00533
71,98109,98109,033,Standard,King County,SEATTLE,41041.9440474846,66380417.1796555
72,98110,98110,035,Standard,Kitsap County,BAINBRIDGE ISLAND,189688.0136057,1838227181.86206
73,98112,98112,033,Standard,King County,SEATTLE,54461.9304700319,140880091.241168
74,98115,98115,033,Standard,King County,SEATTLE,86848.7906979172,243289998.891896
75,98116,98116,033,Standard,King County,SEATTLE,85561.8058112124,370392295.091577
76,98117,98117,033,Standard,King County,SEATTLE,71959.6234376956,178077331.808739
77,98118,98118,033,Standard,King County,SEATTLE,87662.5531239267,256301400.590791
78,98119,98119,033,Standard,King County,SEATTLE,55242.3326866026,112043087.57984
79,98121,98121,033,Standard,King County,SEATTLE,27469.5424945771,27834400.5970695
80,98122,98122,033,Standard,King County,SEATTLE,57417.4601974746,89240661.4886738
81,98125,98125,033,Standard,King County,SEATTLE,71092.6108333602,180107910.813099
82,98126,98126,033,Standard,King County,SEATTLE,85830.5561046421,105865047.665909
83,98133,98133,033,Standard,King County,SEATTLE,95305.6313519496,195671831.941594
84,98134,98134,033,Standard,King County,SEATTLE,60097.9205560523,125545924.27095
85,98136,98136,033,Standard,King County,SEATTLE,72901.4350274588,239375035.896087
86,98144,98144,033,Standard,King County,SEATTLE,58216.3437360472,138927276.003329
87,98146,98146,033,Standard,King County,SEATTLE,82937.0321188215,257686278.038552
